number,symbol,japanese,correct
21,Sc,スカンジウム,x
22,Ti,チタン,x
23,V,バナジウム,x
24,Cr,クロム,x
25,Mn,マンガン,x
26,Fe,鉄,x
27,Co,コバルト,x
28,Ni,ニッケル,x
29,Cu,銅,x
30,Zn,亜鉛,x
31,Ga,ガリウム,x
32,Ge,ゲルマニウム,x
33,As,ヒ素,x
34,Se,セレン,x
35,Br,臭素,x
36,Kr,クリプトン,x
37,Rb,ルビジウム,x
38,Sr,ストロンチウム,x
39,Y,イットリウム,x
40,Zr,ジルコニウム,x
41,Nb,ニオブ,x
42,Mo,モリブデン,x
43,Tc,テクネチウム,x
44,Ru,ルテニウム,x
45,Rh,ロジウム,x
46,Pd,パラジウム,x
47,Ag,銀,x
48,Cd,カドミウム,x
49,In,インジウム,x
50,Sn,スズ,x
51,Sb,アンチモン,x
52,Te,テルル,x
53,I,ヨウ素,x
54,Xe,キセノン,x
55,Cs,セシウム,x
56,Ba,バリウム,x
72,Hf,ハフニウム,x
73,Ta,タンタル,x
74,W,タングステン,x
75,Re,レニウム,x
76,Os,オスミウム,x
77,Ir,イリジウム,x
78,Pt,白金,x
79,Au,金,x
80,Hg,水銀,x
81,Tl,タリウム,x
82,Pb,鉛,x
83,Bi,ビスマス,x
84,Po,ポロニウム,x
85,At,アスタチン,x
86,Rn,ラドン,x
87,Fr,フランシウム,x
88,Ra,ラジウム,x
